episode,steps,reward,avg_reward_100,success_rate_100,epsilon,avg_loss,aligned
254,800,-57385.3626,-173818.4627,0.0000,0.6139,232.429679,0
255,800,7072.1193,-173951.6086,0.0000,0.6124,245.202227,0
256,800,-47984.5565,-166426.2042,0.0000,0.6109,228.694987,0
257,566,-21168.1565,-165703.2341,0.0100,0.6098,225.408341,1
258,800,20388.4047,-165591.8936,0.0100,0.6083,213.383032,0
259,800,-104562.1874,-165488.8070,0.0100,0.6068,222.439921,0
260,800,-8648.2989,-164977.3812,0.0100,0.6052,235.869733,0
261,800,27529.1905,-159852.8459,0.0100,0.6037,212.741105,0
262,800,10125.3720,-159798.6106,0.0100,0.6022,225.469426,0
263,800,-318468.4211,-160217.8278,0.0100,0.6007,247.347849,0
264,800,4706.3788,-152166.0140,0.0100,0.5992,227.714174,0
265,800,10594.5127,-144054.9189,0.0100,0.5976,220.892124,0
266,800,-800325.0000,-149442.7229,0.0100,0.5961,230.255732,0
267,800,-126220.6349,-150561.6924,0.0100,0.5946,219.620294,0
268,800,12044.5499,-143006.0473,0.0100,0.5931,224.349630,0
269,800,-800445.0000,-144341.7296,0.0100,0.5916,223.091206,0
270,800,-1806.9883,-144437.7504,0.0100,0.5900,236.436264,0
271,800,4456.4725,-144474.0032,0.0100,0.5885,222.050347,0
272,800,-151373.9433,-146111.8319,0.0100,0.5870,238.370623,0
273,800,3734.0663,-138069.4412,0.0100,0.5855,220.575587,0
274,800,31542.7091,-132994.0389,0.0100,0.5840,214.771313,0
275,800,5666.3873,-133119.1450,0.0100,0.5824,213.065900,0
276,800,-78508.0597,-132055.0238,0.0100,0.5809,242.369502,0
277,745,2370.1820,-132281.2334,0.0200,0.5795,211.561095,1
278,800,4578.0066,-132488.1649,0.0200,0.5780,219.852184,0
279,800,-800470.0000,-139678.1758,0.0200,0.5765,226.848621,0
280,800,5332.1885,-138600.2139,0.0200,0.5749,226.607166,0
281,800,18379.2328,-137902.7526,0.0200,0.5734,217.337383,0
282,800,-27312.4494,-136818.3157,0.0200,0.5719,222.644490,0
283,800,-800470.0000,-136818.1157,0.0200,0.5704,218.408341,0
284,800,-136844.0417,-138273.8983,0.0200,0.5689,204.234112,0
285,800,2836.2800,-136199.5238,0.0200,0.5673,231.497933,0
286,800,-20803.7850,-132904.5473,0.0200,0.5658,232.860205,0
287,762,10364.1923,-132843.0024,0.0300,0.5644,216.510146,1
288,800,-34232.1518,-133393.0782,0.0300,0.5629,222.079524,0
289,800,-174444.1542,-133525.5305,0.0300,0.5613,218.687331,0
290,800,-152854.5973,-131171.4938,0.0300,0.5598,203.757345,0
291,800,11424.8286,-128423.2372,0.0300,0.5583,220.408566,0
292,800,18361.3269,-128387.3162,0.0300,0.5568,218.794484,0
293,499,-136730.7153,-121749.3733,0.0400,0.5558,214.255993,1
294,800,17296.7357,-118298.5648,0.0400,0.5543,210.580613,0
295,800,-3515.9645,-117260.8530,0.0400,0.5528,217.012732,0
296,800,-299254.4016,-120389.1351,0.0400,0.5513,219.475765,0
297,800,-268246.3442,-121951.9382,0.0400,0.5498,205.497983,0
298,800,1582.4445,-121883.2329,0.0400,0.5482,229.387835,0
299,800,17692.2638,-118166.3139,0.0400,0.5467,213.957683,0
300,800,23986.7500,-118033.6110,0.0400,0.5452,223.057960,0
301,404,9108.5945,-118001.7494,0.0500,0.5444,226.262811,1
302,800,7345.7402,-109924.5920,0.0500,0.5429,196.812992,0
303,800,28535.0727,-109555.5322,0.0500,0.5414,218.976423,0
304,800,27257.5057,-108520.9754,0.0500,0.5399,231.064900,0
305,800,-800470.0000,-116580.5255,0.0500,0.5383,210.263846,0
306,800,9114.1247,-115479.9609,0.0500,0.5368,216.525115,0
307,800,1238.5037,-113339.4511,0.0500,0.5353,212.582158,0
308,800,57092.4737,-104763.6764,0.0500,0.5338,191.496725,0
309,800,-189017.5810,-106707.8442,0.0500,0.5323,224.187606,0
310,724,-162132.4211,-108384.3908,0.0600,0.5309,219.418153,1
311,800,-111832.7850,-109651.2131,0.0600,0.5294,218.761579,0
312,800,10001.5313,-109771.1205,0.0600,0.5278,229.169756,0
313,800,-107479.9667,-110927.7578,0.0600,0.5263,215.339942,0
314,800,33461.1634,-110677.2784,0.0600,0.5248,208.114758,0
315,800,-800365.0000,-118698.4296,0.0600,0.5233,219.463561,0
316,692,-158771.7435,-115998.3399,0.0700,0.5220,214.074702,1
317,800,25089.2916,-115511.5050,0.0700,0.5205,219.585010,0
318,800,15459.4610,-114958.9437,0.0700,0.5189,202.922779,0
319,598,-108849.7585,-116662.8690,0.0800,0.5178,212.197386,1
320,800,6056.2332,-113701.4560,0.0800,0.5163,224.661922,0
321,800,-96692.6523,-114793.3233,0.0800,0.5148,208.931353,0
322,800,8049.7005,-114850.2592,0.0800,0.5132,208.913931,0
323,800,28514.9375,-113269.8770,0.0800,0.5117,207.572902,0
324,290,15140.9643,-113218.0615,0.0900,0.5112,190.120262,1
325,800,8769.1972,-113439.0003,0.0900,0.5096,201.054015,0
326,800,14061.5488,-113536.2234,0.0900,0.5081,195.802634,0
327,800,1071.2363,-108214.6258,0.0900,0.5066,210.926568,0
328,800,-77774.4003,-109053.6464,0.0900,0.5051,204.149894,0
329,800,-105040.5150,-110173.5329,0.0900,0.5036,226.069770,0
330,539,-14739.5361,-107773.4036,0.1000,0.5025,217.207265,1
331,800,10317.4135,-105400.9918,0.1000,0.5010,224.531587,0
332,630,7307.5899,-105402.1555,0.1100,0.4998,180.383524,1
333,800,-523411.6301,-106667.2285,0.1100,0.4983,207.492416,0
334,800,-230804.7663,-108370.5909,0.1100,0.4968,221.717895,0
335,800,-800430.0000,-111274.5214,0.1100,0.4953,201.489109,0
336,800,-166778.7181,-112943.3022,0.1100,0.4937,220.170710,0
